task,modality,comparison_model_id,comparison_representation,requested_n,median_effective_n,median_delta,central_95_low,central_95_high,central_95_width,sign_consistency,valid_repeats
CYP3A4,molecule,grover_base,GROVER Base,51,51,0.0737,0.0198,0.1234,0.1036,0.9975,400
CYP3A4,molecule,unimol_v1,Uni-Mol v1,34,34,0.1144,0.0142,0.2463,0.2321,0.9925,400
CYP3A4,molecule,unimol_v1,Uni-Mol v1,50,50,0.1103,0.0521,0.177,0.125,1.0,400
CYP3A4,molecule,unimol_v1,Uni-Mol v1,51,51,0.1131,0.0476,0.1731,0.1256,1.0,400
DeepLoc,protein,esm2_150m,ESM-2 150M,50,50,0.0125,-0.0317,0.0565,0.0882,0.7407,162
DeepLoc,protein,esm2_150m,ESM-2 150M,100,100,0.0116,-0.0257,0.0419,0.0677,0.7893,280
DeepLoc,protein,esm2_150m,ESM-2 150M,150,150,0.0124,-0.0174,0.0422,0.0595,0.8207,357
DeepLoc,protein,esm2_150m,ESM-2 150M,250,250,0.0122,-0.0091,0.0336,0.0426,0.8663,389
DeepLoc,protein,esm2_150m,ESM-2 150M,500,500,0.0123,-0.0027,0.0296,0.0323,0.945,400
DeepLoc,protein,esm2_150m,ESM-2 150M,1000,1000,0.0127,0.0028,0.0225,0.0197,0.99,400
DeepLoc,protein,esm2_150m,ESM-2 150M,1490,1490,0.0126,0.0044,0.0196,0.0153,0.9975,400
DeepLoc,protein,esm2_150m,ESM-2 150M,2000,2000,0.0123,0.0064,0.0187,0.0124,1.0,400
DeepLoc,protein,esm2_150m,ESM-2 150M,2981,2981,0.0125,0.0086,0.0166,0.0081,1.0,400
DeepLoc,protein,esm2_150m,ESM-2 150M,4472,4472,0.0124,0.01,0.015,0.005,1.0,400
DeepLoc,protein,esm2_150m,ESM-2 150M,5000,5000,0.0125,0.0109,0.0144,0.0035,1.0,400
DeepLoc,protein,esm2_35m,ESM-2 35M,50,50,0.0246,-0.0298,0.0809,0.1107,0.8014,146
DeepLoc,protein,esm2_35m,ESM-2 35M,100,100,0.0243,-0.0188,0.0694,0.0882,0.9046,283
DeepLoc,protein,esm2_35m,ESM-2 35M,150,150,0.0245,-0.0055,0.0626,0.0681,0.9415,342
DeepLoc,protein,esm2_35m,ESM-2 35M,250,250,0.0252,0.0015,0.0506,0.0491,0.9768,388
DeepLoc,protein,esm2_35m,ESM-2 35M,500,500,0.0255,0.0093,0.043,0.0337,1.0,400
DeepLoc,protein,esm2_35m,ESM-2 35M,1000,1000,0.0257,0.0139,0.0381,0.0242,1.0,400
DeepLoc,protein,esm2_35m,ESM-2 35M,1490,1490,0.0259,0.0161,0.0344,0.0183,1.0,400
DeepLoc,protein,esm2_35m,ESM-2 35M,2000,2000,0.0256,0.0188,0.0324,0.0136,1.0,400
DeepLoc,protein,esm2_35m,ESM-2 35M,2981,2981,0.0258,0.0209,0.0314,0.0104,1.0,400
DeepLoc,protein,esm2_35m,ESM-2 35M,4472,4472,0.0258,0.0226,0.0292,0.0066,1.0,400
DeepLoc,protein,esm2_35m,ESM-2 35M,5000,5000,0.0259,0.0237,0.0281,0.0044,1.0,400
DeepLoc,protein,protbert,ProtBERT,50,50,0.0276,-0.0239,0.0996,0.1235,0.9048,147
DeepLoc,protein,protbert,ProtBERT,100,100,0.0306,-0.0184,0.0764,0.0948,0.9122,296
DeepLoc,protein,protbert,ProtBERT,150,150,0.0321,-0.0115,0.0675,0.079,0.9441,340
DeepLoc,protein,protbert,ProtBERT,250,250,0.031,-0.001,0.0684,0.0694,0.9682,377
DeepLoc,protein,protbert,ProtBERT,500,500,0.0317,0.0117,0.0499,0.0382,0.9975,399
DeepLoc,protein,protbert,ProtBERT,1000,1000,0.0309,0.0173,0.0447,0.0273,1.0,400
DeepLoc,protein,protbert,ProtBERT,1490,1490,0.0309,0.0197,0.0409,0.0212,1.0,400
DeepLoc,protein,protbert,ProtBERT,2000,2000,0.0309,0.0228,0.0397,0.0169,1.0,400
DeepLoc,protein,protbert,ProtBERT,2981,2981,0.0314,0.0256,0.0365,0.0109,1.0,400
DeepLoc,protein,protbert,ProtBERT,4472,4472,0.0311,0.0274,0.0345,0.0071,1.0,400
DeepLoc,protein,protbert,ProtBERT,5000,5000,0.031,0.0286,0.0336,0.005,1.0,400
DeepLoc,protein,esm2_8m,ESM-2 8M,50,50,0.0498,-0.0229,0.1332,0.1561,0.9384,146
DeepLoc,protein,esm2_8m,ESM-2 8M,100,100,0.046,-0.0016,0.1028,0.1044,0.9695,295
DeepLoc,protein,esm2_8m,ESM-2 8M,150,150,0.0443,0.0056,0.1033,0.0977,0.9884,345
DeepLoc,protein,esm2_8m,ESM-2 8M,250,250,0.0451,0.0137,0.0834,0.0697,1.0,387
DeepLoc,protein,esm2_8m,ESM-2 8M,500,500,0.0451,0.0246,0.0674,0.0428,1.0,400
DeepLoc,protein,esm2_8m,ESM-2 8M,1000,1000,0.0456,0.031,0.061,0.03,1.0,400
DeepLoc,protein,esm2_8m,ESM-2 8M,1490,1490,0.046,0.0335,0.0583,0.0248,1.0,400
DeepLoc,protein,esm2_8m,ESM-2 8M,2000,2000,0.0459,0.0375,0.0552,0.0177,1.0,400
DeepLoc,protein,esm2_8m,ESM-2 8M,2981,2981,0.0459,0.0402,0.0528,0.0126,1.0,400
DeepLoc,protein,esm2_8m,ESM-2 8M,4472,4472,0.046,0.0421,0.0501,0.008,1.0,400
DeepLoc,protein,esm2_8m,ESM-2 8M,5000,5000,0.0461,0.0427,0.0489,0.0061,1.0,400
DeepLoc,protein,kmer3_protein,3-mer frequency,50,50,0.1736,0.0743,0.2603,0.186,1.0,155
DeepLoc,protein,kmer3_protein,3-mer frequency,100,100,0.1767,0.0977,0.2617,0.164,1.0,294
DeepLoc,protein,kmer3_protein,3-mer frequency,150,150,0.1729,0.1089,0.2417,0.1328,1.0,347
DeepLoc,protein,kmer3_protein,3-mer frequency,250,250,0.1773,0.1253,0.2275,0.1022,1.0,386
DeepLoc,protein,kmer3_protein,3-mer frequency,500,500,0.1748,0.1419,0.2071,0.0652,1.0,400
DeepLoc,protein,kmer3_protein,3-mer frequency,1000,1000,0.1757,0.1522,0.1958,0.0436,1.0,400
DeepLoc,protein,kmer3_protein,3-mer frequency,1490,1490,0.1771,0.1612,0.1923,0.0312,1.0,400
DeepLoc,protein,kmer3_protein,3-mer frequency,2000,2000,0.1753,0.1601,0.1899,0.0298,1.0,400
DeepLoc,protein,kmer3_protein,3-mer frequency,2981,2981,0.1758,0.1662,0.1848,0.0187,1.0,400
DeepLoc,protein,kmer3_protein,3-mer frequency,4472,4472,0.1757,0.17,0.1818,0.0118,1.0,400
DeepLoc,protein,kmer3_protein,3-mer frequency,5000,5000,0.1757,0.1714,0.1795,0.0081,1.0,400
Fluorescence,protein,protbert,ProtBERT,50,50,0.0153,-0.0613,0.082,0.1433,0.665,400
Fluorescence,protein,protbert,ProtBERT,100,100,0.0131,-0.0386,0.0619,0.1005,0.7175,400
Fluorescence,protein,protbert,ProtBERT,150,150,0.0107,-0.0231,0.05,0.0732,0.7275,400
Fluorescence,protein,protbert,ProtBERT,250,250,0.0128,-0.0196,0.0411,0.0607,0.78,400
Fluorescence,protein,protbert,ProtBERT,500,500,0.0111,-0.0136,0.0296,0.0432,0.85,400
Fluorescence,protein,protbert,ProtBERT,1000,1000,0.0116,-0.0036,0.0274,0.031,0.9375,400
Fluorescence,protein,protbert,ProtBERT,2000,2000,0.012,0.0022,0.0225,0.0202,0.9925,400
Fluorescence,protein,protbert,ProtBERT,5000,5000,0.0114,0.0064,0.0176,0.0112,1.0,400
Fluorescence,protein,protbert,ProtBERT,6804,6804,0.0116,0.0065,0.0168,0.0103,1.0,400
Fluorescence,protein,protbert,ProtBERT,10000,10000,0.0117,0.0079,0.0153,0.0074,1.0,400
Fluorescence,protein,protbert,ProtBERT,13608,13608,0.0119,0.009,0.0148,0.0057,1.0,400
Fluorescence,protein,protbert,ProtBERT,20000,20000,0.0117,0.0101,0.0133,0.0033,1.0,400
Fluorescence,protein,protbert,ProtBERT,20412,20412,0.0117,0.01,0.0133,0.0034,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,50,50,0.0544,-0.0479,0.1987,0.2466,0.8125,400
Fluorescence,protein,esm2_650m,ESM-2 650M,100,100,0.0628,-0.0241,0.1529,0.1769,0.9175,400
Fluorescence,protein,esm2_650m,ESM-2 650M,150,150,0.0644,-0.0022,0.1411,0.1433,0.9675,400
Fluorescence,protein,esm2_650m,ESM-2 650M,250,250,0.0633,0.0087,0.1101,0.1014,0.985,400
Fluorescence,protein,esm2_650m,ESM-2 650M,500,500,0.0626,0.0233,0.0993,0.0759,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,1000,1000,0.0613,0.0339,0.0885,0.0546,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,2000,2000,0.0603,0.0417,0.0771,0.0354,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,5000,5000,0.0604,0.0488,0.0717,0.0229,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,6804,6804,0.0608,0.0522,0.0691,0.0169,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,10000,10000,0.0603,0.0544,0.0683,0.0138,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,13608,13608,0.0608,0.0554,0.066,0.0106,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,20000,20000,0.0608,0.0575,0.0635,0.006,1.0,400
Fluorescence,protein,esm2_650m,ESM-2 650M,20412,20412,0.0605,0.0576,0.0634,0.0058,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,50,50,0.0808,-0.0594,0.2398,0.2992,0.8775,400
Fluorescence,protein,esm2_35m,ESM-2 35M,100,100,0.0767,-0.0176,0.168,0.1855,0.9325,400
Fluorescence,protein,esm2_35m,ESM-2 35M,150,150,0.0793,0.0042,0.154,0.1497,0.9825,400
Fluorescence,protein,esm2_35m,ESM-2 35M,250,250,0.0789,0.0155,0.1376,0.1221,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,500,500,0.0798,0.0388,0.1238,0.085,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,1000,1000,0.0798,0.0519,0.1103,0.0584,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,2000,2000,0.0797,0.0618,0.1007,0.039,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,5000,5000,0.0804,0.0694,0.0916,0.0222,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,6804,6804,0.0801,0.0708,0.0889,0.0181,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,10000,10000,0.0804,0.0729,0.0874,0.0145,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,13608,13608,0.0805,0.0752,0.0861,0.0109,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,20000,20000,0.0806,0.077,0.084,0.007,1.0,400
Fluorescence,protein,esm2_35m,ESM-2 35M,20412,20412,0.0805,0.0775,0.0837,0.0062,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,50,50,0.0775,-0.0531,0.2478,0.3008,0.86,400
Fluorescence,protein,esm2_150m,ESM-2 150M,100,100,0.0863,-0.0119,0.1872,0.1991,0.9575,400
Fluorescence,protein,esm2_150m,ESM-2 150M,150,150,0.085,0.0109,0.1745,0.1636,0.9875,400
Fluorescence,protein,esm2_150m,ESM-2 150M,250,250,0.088,0.0306,0.1565,0.126,0.995,400
Fluorescence,protein,esm2_150m,ESM-2 150M,500,500,0.0901,0.0441,0.1309,0.0868,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,1000,1000,0.0902,0.062,0.1196,0.0576,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,2000,2000,0.0891,0.0694,0.1104,0.0411,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,5000,5000,0.0899,0.0766,0.1003,0.0237,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,6804,6804,0.0892,0.0792,0.0998,0.0206,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,10000,10000,0.0893,0.0819,0.0964,0.0144,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,13608,13608,0.0896,0.084,0.0957,0.0118,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,20000,20000,0.0897,0.0865,0.0933,0.0069,1.0,400
Fluorescence,protein,esm2_150m,ESM-2 150M,20412,20412,0.0897,0.0864,0.093,0.0066,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,50,50,0.096,-0.0381,0.2286,0.2667,0.9075,400
Fluorescence,protein,esm2_8m,ESM-2 8M,100,100,0.0984,-0.0003,0.2,0.2003,0.9725,400
Fluorescence,protein,esm2_8m,ESM-2 8M,150,150,0.099,0.0174,0.1865,0.1692,0.9975,400
Fluorescence,protein,esm2_8m,ESM-2 8M,250,250,0.1003,0.0459,0.163,0.1171,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,500,500,0.1016,0.0565,0.1436,0.0872,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,1000,1000,0.0998,0.0692,0.1327,0.0635,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,2000,2000,0.1002,0.0806,0.122,0.0414,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,5000,5000,0.1006,0.0889,0.1135,0.0246,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,6804,6804,0.1012,0.0907,0.1111,0.0204,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,10000,10000,0.1007,0.0929,0.1088,0.0158,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,13608,13608,0.1005,0.0946,0.107,0.0124,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,20000,20000,0.1007,0.0967,0.1042,0.0075,1.0,400
Fluorescence,protein,esm2_8m,ESM-2 8M,20412,20412,0.1007,0.0972,0.1037,0.0065,1.0,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,50,50,0.0,-0.0374,0.0354,0.0728,0.47,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,100,100,-0.0016,-0.023,0.026,0.0489,0.545,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,150,150,-0.0031,-0.0213,0.0184,0.0397,0.5875,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,250,250,-0.0021,-0.0145,0.013,0.0276,0.61,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,392,392,-0.0015,-0.0137,0.0098,0.0235,0.615,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,500,500,-0.0012,-0.0101,0.007,0.0171,0.6025,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,785,785,-0.0019,-0.008,0.0047,0.0127,0.73,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,1000,1000,-0.0018,-0.0069,0.0028,0.0097,0.76,400
Promoters,genomics,hyenadna,HyenaDNA-tiny,1178,1178,-0.0018,-0.0053,0.0013,0.0066,0.8175,400
Promoters,genomics,kmer5_dna,5-mer frequency,50,50,0.0048,-0.0369,0.0535,0.0904,0.5775,400
Promoters,genomics,kmer5_dna,5-mer frequency,100,100,0.006,-0.0208,0.0381,0.0589,0.64,400
Promoters,genomics,kmer5_dna,5-mer frequency,150,150,0.0058,-0.0164,0.0333,0.0497,0.7025,400
Promoters,genomics,kmer5_dna,5-mer frequency,250,250,0.0055,-0.0114,0.0238,0.0352,0.78,400
Promoters,genomics,kmer5_dna,5-mer frequency,392,392,0.0063,-0.0047,0.0181,0.0228,0.8325,400
Promoters,genomics,kmer5_dna,5-mer frequency,500,500,0.0057,-0.0048,0.0165,0.0214,0.86,400
Promoters,genomics,kmer5_dna,5-mer frequency,785,785,0.006,-0.0015,0.0124,0.0139,0.9425,400
Promoters,genomics,kmer5_dna,5-mer frequency,1000,1000,0.0061,-0.0,0.0107,0.0107,0.9725,400
Promoters,genomics,kmer5_dna,5-mer frequency,1178,1178,0.0059,0.0017,0.0099,0.0082,1.0,400
